ProductKey,StandardCost,FinishedGoodsFlag,Color,Weight,SafetyStockLevel,ReorderPoint,ListPrice,SizeRange,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status,ProductName,SubCategory,Category
489,41.5723,TRUE,Yellow,,4,3,53.99,M,M,,,0,S,32.394,,U,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/1/2003 00:00,,Current,"Short-Sleeve Classic Jersey, M",Jerseys,Clothing
490,41.5723,TRUE,Yellow,,4,3,53.99,L,L,,,0,S,32.394,,U,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/1/2003 00:00,,Current,"Short-Sleeve Classic Jersey, L",Jerseys,Clothing
491,41.5723,TRUE,Yellow,,4,3,53.99,XL,XL,,,0,S,32.394,,U,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/1/2003 00:00,,Current,"Short-Sleeve Classic Jersey, XL",Jerseys,Clothing
601,23.9716,TRUE,NA,223,500,375,53.99,NA,,,G,1,,32.394,L,,LL Bottom Bracket,Chromoly steel.,7/1/2003 00:00,,Current,LL Bottom Bracket,Bottom Brackets,Components
487,20.5663,TRUE,Silver,,4,3,54.99,70,70,,,0,S,32.994,,,Hydration Pack,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",7/1/2003 00:00,,Current,Hydration Pack - 70 oz.,Hydration Packs,Accessories
399,24.9932,TRUE,NA,,500,375,56.2909,NA,,,,1,M,33.7745,M,,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,7/1/2002 00:00,6/30/2003 00:00,,ML Mountain Handlebars,Handlebars,Components
405,24.9932,TRUE,NA,,500,375,56.2909,NA,,,,1,R,33.7745,M,,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,7/1/2002 00:00,6/30/2003 00:00,,ML Road Handlebars,Handlebars,Components
445,24.7459,TRUE,Black,,4,3,59.99,S,S,,,0,S,35.994,,M,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/1/2002 00:00,6/30/2003 00:00,,"Men's Sports Shorts, S",Shorts,Clothing
453,24.7459,TRUE,Black,,4,3,59.99,M,M,,,0,S,35.994,,M,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/1/2002 00:00,6/30/2003 00:00,,"Men's Sports Shorts, M",Shorts,Clothing
454,24.7459,TRUE,Black,,4,3,59.99,L,L,,,0,S,35.994,,M,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/1/2002 00:00,6/30/2003 00:00,,"Men's Sports Shorts, L",Shorts,Clothing
455,24.7459,TRUE,Black,,4,3,59.99,XL,XL,,,0,S,35.994,,M,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/1/2002 00:00,6/30/2003 00:00,,"Men's Sports Shorts, XL",Shorts,Clothing
410,26.9708,TRUE,Black,,500,375,60.745,NA,,,,1,M,36.447,L,,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,7/1/2002 00:00,6/30/2003 00:00,,LL Mountain Front Wheel,Wheels,Components
400,27.4925,TRUE,NA,,500,375,61.92,NA,,,,1,M,37.152,M,,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,7/1/2003 00:00,,Current,ML Mountain Handlebars,Handlebars,Components
406,27.4925,TRUE,NA,,500,375,61.92,NA,,,,1,R,37.152,M,,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,7/1/2003 00:00,,Current,ML Road Handlebars,Handlebars,Components
543,27.568,TRUE,Silver/Black,215,500,375,62.09,NA,,,G,1,M,37.254,M,,ML Mountain Pedal,"Lightweight, durable, clipless pedal with adjustable tension.",7/1/2003 00:00,,Current,ML Mountain Pedal,Pedals,Components
546,27.568,TRUE,Silver/Black,168,500,375,62.09,NA,,,G,1,R,37.254,M,,ML Road Pedal,Lightweight aluminum alloy construction.,7/1/2003 00:00,,Current,ML Road Pedal,Pedals,Components
471,23.749,TRUE,Blue,,4,3,63.5,S,S,,,0,S,38.1,,U,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",7/1/2003 00:00,,Current,"Classic Vest, S",Vests,Clothing
472,23.749,TRUE,Blue,,4,3,63.5,M,M,,,0,S,38.1,,U,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",7/1/2003 00:00,,Current,"Classic Vest, M",Vests,Clothing
473,23.749,TRUE,Blue,,4,3,63.5,L,L,,,0,S,38.1,,U,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",7/1/2003 00:00,,Current,"Classic Vest, L",Vests,Clothing
474,26.1763,TRUE,Black,,4,3,69.99,S,S,,,0,M,41.994,,W,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",7/1/2003 00:00,,Current,"Women's Mountain Shorts, S",Shorts,Clothing
475,26.1763,TRUE,Black,,4,3,69.99,M,M,,,0,M,41.994,,W,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",7/1/2003 00:00,,Current,"Women's Mountain Shorts, M",Shorts,Clothing
476,26.1763,TRUE,Black,,4,3,69.99,L,L,,,0,M,41.994,,W,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",7/1/2003 00:00,,Current,"Women's Mountain Shorts, L",Shorts,Clothing
456,30.9334,TRUE,Black,,4,3,74.99,S,S,,,0,S,44.994,,W,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,7/1/2002 00:00,6/30/2003 00:00,,"Women's Tights, S",Tights,Clothing
457,30.9334,TRUE,Black,,4,3,74.99,M,M,,,0,S,44.994,,W,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,7/1/2002 00:00,6/30/2003 00:00,,"Women's Tights, M",Tights,Clothing
458,30.9334,TRUE,Black,,4,3,74.99,L,L,,,0,S,44.994,,W,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,7/1/2002 00:00,6/30/2003 00:00,,"Women's Tights, L",Tights,Clothing
548,35.9596,TRUE,Silver/Black,,500,375,80.99,NA,,,,1,T,48.594,,,Touring Pedal,A stable pedal for all-day riding.,7/1/2003 00:00,,Current,Touring Pedal,Pedals,Components
544,35.9596,TRUE,Silver/Black,185,500,375,80.99,NA,,,G,1,M,48.594,H,,HL Mountain Pedal,Stainless steel; designed to shed mud easily.,7/1/2003 00:00,,Current,HL Mountain Pedal,Pedals,Components
547,35.9596,TRUE,Silver/Black,149,500,375,80.99,NA,,,G,1,R,48.594,H,,HL Road Pedal,Top-of-the-line clipless pedals with adjustable tension.,7/1/2003 00:00,,Current,HL Road Pedal,Pedals,Components
413,37.9909,TRUE,Black,900,500,375,85.565,NA,,,G,1,R,51.339,L,,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,7/1/2002 00:00,6/30/2003 00:00,,LL Road Front Wheel,Wheels,Components
419,38.9588,TRUE,Black,,500,375,87.745,NA,,,,1,M,52.647,L,,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,7/1/2002 00:00,6/30/2003 00:00,,LL Mountain Rear Wheel,Wheels,Components
459,37.1209,TRUE,Multi,,4,3,89.99,S,S,,,0,S,53.994,,M,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",7/1/2002 00:00,6/30/2003 00:00,,"Men's Bib-Shorts, S",Bib-Shorts,Clothing
460,37.1209,TRUE,Multi,,4,3,89.99,M,M,,,0,S,53.994,,M,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",7/1/2002 00:00,6/30/2003 00:00,,"Men's Bib-Shorts, M",Bib-Shorts,Clothing
461,37.1209,TRUE,Multi,,4,3,89.99,L,L,,,0,S,53.994,,M,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",7/1/2002 00:00,6/30/2003 00:00,,"Men's Bib-Shorts, L",Bib-Shorts,Clothing
552,40.6216,TRUE,Silver,88,500,375,91.49,NA,,,G,1,,54.894,,,Front Derailleur,Wide-link design.,7/1/2003 00:00,,Current,Front Derailleur,Derailleurs,Components
554,40.6571,TRUE,NA,,500,375,91.57,NA,,,,1,T,54.942,H,,HL Touring Handlebars,A light yet stiff aluminum bar for long distance riding.,7/1/2003 00:00,,Current,HL Touring Handlebars,Handlebars,Components
602,44.9506,TRUE,NA,168,500,375,101.24,NA,,,G,1,,60.744,M,,ML Bottom Bracket,Aluminum alloy cups; large diameter spindle.,7/1/2003 00:00,,Current,ML Bottom Bracket,Bottom Brackets,Components
395,45.4168,TRUE,NA,,500,375,102.29,NA,,,,1,,61.374,M,,ML Headset,Sealed cartridge keeps dirt out.,7/1/2002 00:00,6/30/2003 00:00,,ML Headset,Headsets,Components
